ticker,company_name,exchange,country,source_provider,source_file,instrument_type,instrument_scope,classification_confidence,classification_reason,sector,industry,market_cap,raw_symbol,raw_name,raw_exchange,raw_listing_market,route_id
AAAA,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AAAA,,,,cboe_us_equities_symbols_traded_downloaded
AAAU,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AAAU,,,,cboe_us_equities_symbols_traded_downloaded
AAOX,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AAOX,,,,cboe_us_equities_symbols_traded_downloaded
AAPR,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AAPR,,,,cboe_us_equities_symbols_traded_downloaded
AAPW,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AAPW,,,,cboe_us_equities_symbols_traded_downloaded
AAPX,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AAPX,,,,cboe_us_equities_symbols_traded_downloaded
AAPY,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AAPY,,,,cboe_us_equities_symbols_traded_downloaded
AAUA,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AAUA,,,,cboe_us_equities_symbols_traded_downloaded
AAUM,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,AAUM,,,,cboe_us_equities_symbols_traded_downloaded
ABFL,,CBOE,USA,cboe_listed_symbols,data/raw/source_providers/cboe_listed_symbols/cboe_symbols_traded_raw.csv,UNKNOWN_PENDING_CLASSIFICATION,REFERENCE_TRADED_SYMBOL_PENDING_VALIDATION,LOW,"Cboe symbols-traded/secondary route parsed; may represent traded symbols or lot-size reference, not primary listing.",,,,ABFL,,,,cboe_us_equities_symbols_traded_downloaded
