profile_key,profile_value,notes
version,v2.18H,
phase,TWSE + TPEx Expanded Validation,
active_canonical_dataset,outputs\full_universe_source_acquisition\expanded_universe_v2_14e.csv,
active_canonical_rows,38287,
base_candidate_dataset,outputs\full_universe_source_acquisition\expanded_universe_candidate_nse_india_v2_17g.csv,
base_candidate_rows,40300,
expanded_candidate_dataset,outputs\full_universe_source_acquisition\expanded_universe_candidate_twse_tpex_v2_18g.csv,
expanded_candidate_rows,40996,
added_rows,696,
withheld_rows,0,
row_increment,696,
schema_columns,33,ticker|company_name|exchange|country|source_provider|source_file|instrument_type|instrument_scope|classification_confidence|classification_reason|sector|industry|market_cap|raw_cik|raw_exchange|provider_precedence|merge_action|merge_reason|isin|currency|mic|source_version|source_url|hkex_category|hkex_subcategory|hkex_board_lot|provider|source_phase|symbol|security_name|instrument_id|product_assignment_group_description|asset_type
potential_net_new_symbols,696,
possible_existing_symbols,379,not auto-added
existing_symbols,0,not auto-added
projected_rows_needed_after_twse,9004,
active_canonical_sha256_before,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f,
active_canonical_sha256_after,cf88f95efc0f8c9dd58a1a00dc755db1aca7a713bc799eebc8ce6a0bda5f353f,
base_candidate_sha256_before,a6d93e89c2c26ae49bde7aa923ec42c385a4885602bcafa7a0bdfc50f2801ac6,
base_candidate_sha256_after,a6d93e89c2c26ae49bde7aa923ec42c385a4885602bcafa7a0bdfc50f2801ac6,
expanded_candidate_sha256_before,05047f03058c6d3d200b70f5f6e28e313dd9a98018b8ac44ea449989773c3aa2,
expanded_candidate_sha256_after,05047f03058c6d3d200b70f5f6e28e313dd9a98018b8ac44ea449989773c3aa2,
